exp,dev_stage,tissue,area,x,y,perimeter
Tg 10x 2-A,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg 10x 2-A,Pre-hatch,TG,280.42,21.57,18.4,68.57
Tg 10x 2-A,Pre-hatch,TG,480.32,29.19,22.21,87.26
Tg 10x 2-A,Pre-hatch,TG,360.54,24.11,19.67,72.17
Tg 10x 2-A,Pre-hatch,TG,283.04,18.4,19.67,64.4
Tg 10x 2-A,Pre-hatch,TG,419.92,25.38,24.75,84.07
Tg 10x 2-A,Pre-hatch,TG,374.63,21.57,20.94,72.73
Tg 10x 2-A,Pre-hatch,TG,455.15,22.21,29.19,91.88
Tg 10x 2-A,Pre-hatch,TG,191.24,19.04,13.32,61.83
Tg 10x 2-A,Pre-hatch,TG,187.42,15.86,15.86,54.47
Tg 10x 2-A,Pre-hatch,TG,423.35,27.28,20.3,81.48
Tg 10x 2-A,Pre-hatch,TG,221.44,17.77,15.86,61.37
Tg 10x 2-A,Pre-hatch,TG,259.48,20.3,22.21,68.14
Tg 10x 2-A,Pre-hatch,TG,369.2,22.84,25.38,80.19
Tg 10x 2-A,Pre-hatch,TG,424.55,22.84,22.84,78.64
Tg 10x 2-A,Pre-hatch,TG,322.29,22.84,18.4,67.85
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,195.62,15.24,20,58.3
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,195.62,15.24,20,58.3
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,613.35,25.4,29.52,96.43
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,491.91,21.9,32.38,87.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,315.75,23.81,18.73,75.41
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,165.08,12.38,19.68,54
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,325.07,23.17,23.49,74.97
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,382.76,28.89,20.95,81.89
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,281.03,18.1,22.54,65.18
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,368.71,20.32,22.86,74.55
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,178.03,13.33,19.05,55.14
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,225.6,13.97,27.94,70.49
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,161.85,12.06,18.41,50.1
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,146.59,14.92,13.33,49.7
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,127.79,9.52,16.83,45.01
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,511.56,23.49,27.94,86.13
Tg CGRP-633 AceTub-488 4-B,Pre-hatch,TG,195.62,15.24,20,58.3
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,175.46,13.97,16.83,51.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,189.87,12.7,18.1,52.99
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,231.9,16.83,19.37,60.16
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,164.07,14.6,12.7,48.63
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,250.94,15.24,20.63,61.54
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,237.79,14.6,20.95,59.64
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,359.28,20.63,23.49,72.4
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,374.7,20.63,23.81,74.23
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,161.85,13.02,16.19,47.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,254.37,15.87,20.63,59.46
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,222.47,16.19,16.83,55.17
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,232.25,18.73,16.19,58.45
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,315.75,16.83,21.59,66.32
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,217.53,15.24,17.46,56.49
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,234.62,15.56,18.73,59.55
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,190.98,16.19,15.56,54.08
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,253.06,21.27,15.87,61.61
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,243.23,16.83,17.14,56.58
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,241.27,16.51,17.78,59.34
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,246.16,16.83,19.37,61.05
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,224.89,16.19,15.87,57.28
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,245.55,13.33,21.9,61.69
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,201.51,11.75,19.37,55.04
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,203.68,17.14,16.51,54.62
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,200.05,15.87,16.19,53.41
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,305.97,21.27,21.27,67.42
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,109.15,10.79,13.33,38.84
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,215.67,18.73,15.87,56.72
Tg P2X3-488 AceTub-594 20x 1-C,Pre-hatch,TG,256.54,11.75,25.4,65.71
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,248.42,19.05,19.37,65.45
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,79.82,11.11,10.48,35.36
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,261.93,21.9,16.83,61.57
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,247.11,19.68,18.1,61.27
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,191.03,17.46,15.56,54.25
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,239.66,14.92,18.73,59.74
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,200.1,16.51,14.6,53.52
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,158.63,13.33,13.97,48.73
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,69.14,8.89,9.84,32.41
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,228.72,17.14,16.51,56.75
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,154.6,15.56,13.02,48.55
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,248.42,19.05,19.37,65.45
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,79.82,11.11,10.48,35.36
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,261.93,21.9,16.83,61.57
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,247.11,19.68,18.1,61.27
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,191.03,17.46,15.56,54.25
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,239.66,14.92,18.73,59.74
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,200.1,16.51,14.6,53.52
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,158.63,13.33,13.97,48.73
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,69.14,8.89,9.84,32.41
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,228.72,17.14,16.51,56.75
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,154.6,15.56,13.02,48.55
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,248.42,19.05,19.37,65.45
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,79.82,11.11,10.48,35.36
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,261.93,21.9,16.83,61.57
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,247.11,19.68,18.1,61.27
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,191.03,17.46,15.56,54.25
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,239.66,14.92,18.73,59.74
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,200.1,16.51,14.6,53.52
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,158.63,13.33,13.97,48.73
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,69.14,8.89,9.84,32.41
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,228.72,17.14,16.51,56.75
Tg P2X3-488 AceTub-594 20x 2b-E,Pre-hatch,TG,154.6,15.56,13.02,48.55
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,516.4,28.25,26.67,96.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,395.41,24.44,20.95,72.77
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,325.22,18.73,21.27,68.21
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,229.78,19.37,15.87,59.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,327.23,21.9,18.41,66.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,381.91,26.35,24.13,78.64
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,129.55,13.33,11.75,41.33
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,206.95,17.14,15.24,53.13
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,303.6,20.63,20.63,66.01
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,136.86,12.7,13.33,43.67
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,197.23,18.1,13.65,51.75
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,401.66,25.4,20,74.66
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,202.07,16.51,15.24,53.25
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,355.96,25.71,20.32,72.98
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,289.74,24.76,15.56,67.56
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,214.01,17.78,14.92,54.57
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,182.82,13.33,16.51,50.15
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,258.7,19.68,17.78,62.74
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,223.68,16.51,17.78,56.59
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,200.86,17.78,14.29,54.03
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,203.12,17.78,14.6,57.21
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,190.88,16.19,15.87,52.7
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,319.78,23.81,19.05,71.22
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,165.94,15.24,13.33,50.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,222.32,21.9,15.24,59.95
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,211.08,15.87,16.83,55.62
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,231.85,17.46,16.19,57.73
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,207.66,15.56,15.87,54.34
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,288.99,17.14,20.32,63.77
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,387.05,23.17,21.59,74.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,238.65,18.73,16.51,59.63
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,185.29,16.19,13.97,51.94
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,322.45,19.37,20,67.15
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,226.96,23.17,13.33,60.5
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,325.62,23.81,17.14,74.72
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,451.65,22.22,23.81,79.57
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,516.4,28.25,26.67,96.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,395.41,24.44,20.95,72.77
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,325.22,18.73,21.27,68.21
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,229.78,19.37,15.87,59.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,327.23,21.9,18.41,66.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,381.91,26.35,24.13,78.64
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,129.55,13.33,11.75,41.33
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,206.95,17.14,15.24,53.13
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,303.6,20.63,20.63,66.01
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,136.86,12.7,13.33,43.67
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,197.23,18.1,13.65,51.75
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,401.66,25.4,20,74.66
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,202.07,16.51,15.24,53.25
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,355.96,25.71,20.32,72.98
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,289.74,24.76,15.56,67.56
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,214.01,17.78,14.92,54.57
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,182.82,13.33,16.51,50.15
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,258.7,19.68,17.78,62.74
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,223.68,16.51,17.78,56.59
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,200.86,17.78,14.29,54.03
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,203.12,17.78,14.6,57.21
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,190.88,16.19,15.87,52.7
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,319.78,23.81,19.05,71.22
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,165.94,15.24,13.33,50.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,222.32,21.9,15.24,59.95
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,211.08,15.87,16.83,55.62
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,231.85,17.46,16.19,57.73
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,207.66,15.56,15.87,54.34
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,288.99,17.14,20.32,63.77
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,387.05,23.17,21.59,74.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,238.65,18.73,16.51,59.63
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,185.29,16.19,13.97,51.94
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,322.45,19.37,20,67.15
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,226.96,23.17,13.33,60.5
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,325.62,23.81,17.14,74.72
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,451.65,22.22,23.81,79.57
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,516.4,28.25,26.67,96.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,395.41,24.44,20.95,72.77
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,325.22,18.73,21.27,68.21
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,229.78,19.37,15.87,59.19
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,327.23,21.9,18.41,66.41
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,381.91,26.35,24.13,78.64
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,129.55,13.33,11.75,41.33
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,206.95,17.14,15.24,53.13
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,303.6,20.63,20.63,66.01
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,136.86,12.7,13.33,43.67
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,197.23,18.1,13.65,51.75
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,401.66,25.4,20,74.66
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,202.07,16.51,15.24,53.25
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,355.96,25.71,20.32,72.98
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,289.74,24.76,15.56,67.56
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,214.01,17.78,14.92,54.57
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,182.82,13.33,16.51,50.15
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,258.7,19.68,17.78,62.74
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,223.68,16.51,17.78,56.59
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,200.86,17.78,14.29,54.03
Tg P2X3-488 AceTub-594 20x-D,Pre-hatch,TG,203.12,17.78,14.6,57.21
